"694SAUIL","journalArticle","2003","Milliken, Frances J.; Morrison, Elizabeth W.; Hewlin, Patricia F.","An Exploratory Study of Employee Silence: Issues that Employees Don’t Communicate Upward and Why*","Journal of Management Studies","","0022-2380","10.1111/1467-6486.00387","https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6486.00387","ABSTRACT There is evidence from a variety of sources that employees often do not feel comfortable speaking to their bosses about organizational problems or issues that concern them. The purpose of this study was to shed light on the types of issues that employees are reluctant to raise, and identify why employees sometimes decide to remain silent rather than voice their concerns. We interviewed 40 employees and found that most had been in situations where they were concerned about an issue but did not raise it to a supervisor. Silence spanned a range of organizational issues, with several of our respondents indicating that they did not feel comfortable speaking to those above them about any issues or concerns. The most frequently mentioned reason for remaining silent was the fear of being viewed or labeled negatively, and as a consequence, damaging valued relationships. From our data, we develop a model of how the perceived consequences of voice contribute to silence, and a model of how the social and relational implications of speaking up can take away employees? ability to have influence within an organizational setting.","2003-09-01","2019-06-23 18:40:08","2019-06-23 18:40:08","2019-06-23 18:40:08","1453-1476","","6","40","","Journal of Management Studies","An Exploratory Study of Employee Silence","","","","","","","","","","","","onlinelibrary.wiley.com (Atypon)","","","","/Users/Mami/Zotero/storage/IWCEIEHA/1467-6486.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXNJSVMP","bookSection","2014","Lauer, Thomas","Erfolgsfaktor Kommunikation – Widerstände vermeiden und überwinden","Change Management","978-3-662-43736-0 978-3-662-43737-7","","","http://link.springer.com/10.1007/978-3-662-43737-7_8","","2014","2019-06-24 14:18:16","2019-06-24 14:18:16","2019-06-24 14:18:16","121-143","","","","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","de","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-662-43737-7_8","","/Users/Mami/Zotero/storage/TV9SYRNR/Lauer - 2014 - Erfolgsfaktor Kommunikation – Widerstände vermeide.pdf","","","","","","","","","Lauer, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F54ZMETC","journalArticle","2015","Mund, Carolin; Neuhäusler, Peter","Towards an early-stage identification of emerging topics in science—The usability of bibliometric characteristics","Journal of Informetrics","","1751-1577","https://doi.org/10.1016/j.joi.2015.09.004","http://www.sciencedirect.com/science/article/pii/S1751157715200405","The assessment of research topics according to their development stage can be used for different purposes, most importantly for decisions regarding the (financial) support of research groups and regions. In this work, we try to determine the influencing factors of emerging scientific topics during their early development stage. Documents in five pre-defined fields are analyzed with regard to the characteristics of the involved authors, their references and journals. With the help of an assignment to emerging and established topics, the publication behavior of documents in different development stages can be compared. Foremost, indicators can be derived that can help to identify publications in emerging topics in science at an early-stage after publication. The results show that the field differences are so pronounced that they hamper generalization. The field specific analysis, however, suggests that at least for some fields a pre-selection of emerging topics can be made. In technical fields, the involvement of larger groups of researchers is an apparent feature, while in medicine a contrary observation could be made. In addition, for the field of engineering we found that emerging topics are more often published in older but smaller journals, which indicates a high specialization of the publications.","2015","2019-06-30 13:30:06","2019-06-30 13:30:06","","1018 - 1033","","4","9","","","","","","","","","","","","","","","","","","","","","Bibliometrics; Early-stage; Emerging topics; Identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5S7ZCHQ","journalArticle","2014","Gomez-Jauregui, Valentin; Gomez-Jauregui, Cecilia; Manchado, Cristina; Otero, Cesar","Information management and improvement of citation indices","International Journal of Information Management","","0268-4012 (electronic)","10.1016/j.ijinfomgt.2014.01.002","","<li>Highlights •Bibliographic databases lack uniformity and accuracy due to duplications, misspellings, name variants, etc.•Dataset pre-processing is very important to obtain more accurate, realistic and valid bibliometric analysis.•STICCI.eu is a software tool for improving and converting citation indices – enhancing uniformity.•STICCI.eu is able to convert bibliographical citation formats (WoS, Scopus, Google Scholar, CSV, BibTex, RIS).•It corrects mistakes in databases, detecting duplications, misspellings, name variants, toponymical names, etc.</li>","2014","2019-06-30 14:07:39","2019-06-30 14:17:23","","257-271","","2","34; Jg. 2014-04-01","","","","","","","","","","","","","","","","62/01I32-2007","Published: Artikel","","","","","Bibliometrics; Citation indices; Data cleaning; Information management; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFSHBH4V","journalArticle","2014","Gomez-Jauregui, Valentin; Gomez-Jauregui, Cecilia; Manchado, Cristina; Otero, Cesar","Information management and improvement of citation indices","International Journal of Information Management","","0268-4012 (electronic)","10.1016/j.ijinfomgt.2014.01.002","","<li>Highlights •Bibliographic databases lack uniformity and accuracy due to duplications, misspellings, name variants, etc.•Dataset pre-processing is very important to obtain more accurate, realistic and valid bibliometric analysis.•STICCI.eu is a software tool for improving and converting citation indices – enhancing uniformity.•STICCI.eu is able to convert bibliographical citation formats (WoS, Scopus, Google Scholar, CSV, BibTex, RIS).•It corrects mistakes in databases, detecting duplications, misspellings, name variants, toponymical names, etc.</li>","2014","2019-06-30 14:07:45","2019-06-30 14:07:45","","257-271","","2","34; Jg. 2014-04-01","","","","","","","","","","","","","","","","","Published: Artikel","","","","","Bibliometrics; Citation indices; Data cleaning; Information management; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXWIB676","journalArticle","2015","Mund, Carolin; Neuhäusler, Peter","Towards an early-stage identification of emerging topics in science—The usability of bibliometric characteristics","Journal of Informetrics","","1751-1577","https://doi.org/10.1016/j.joi.2015.09.004","http://www.sciencedirect.com/science/article/pii/S1751157715200405","The assessment of research topics according to their development stage can be used for different purposes, most importantly for decisions regarding the (financial) support of research groups and regions. In this work, we try to determine the influencing factors of emerging scientific topics during their early development stage. Documents in five pre-defined fields are analyzed with regard to the characteristics of the involved authors, their references and journals. With the help of an assignment to emerging and established topics, the publication behavior of documents in different development stages can be compared. Foremost, indicators can be derived that can help to identify publications in emerging topics in science at an early-stage after publication. The results show that the field differences are so pronounced that they hamper generalization. The field specific analysis, however, suggests that at least for some fields a pre-selection of emerging topics can be made. In technical fields, the involvement of larger groups of researchers is an apparent feature, while in medicine a contrary observation could be made. In addition, for the field of engineering we found that emerging topics are more often published in older but smaller journals, which indicates a high specialization of the publications.","2015","2019-06-30 14:07:48","2019-06-30 14:07:48","","1018 - 1033","","4","9","","","","","","","","","","","","","","","","","","","","","Bibliometrics; Early-stage; Emerging topics; Identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FDQ2DHY","journalArticle","2014","Gomez-Jauregui, Valentin; Gomez-Jauregui, Cecilia; Manchado, Cristina; Otero, Cesar","Information management and improvement of citation indices","International Journal of Information Management","","0268-4012 (electronic)","10.1016/j.ijinfomgt.2014.01.002","","<li>Highlights •Bibliographic databases lack uniformity and accuracy due to duplications, misspellings, name variants, etc.•Dataset pre-processing is very important to obtain more accurate, realistic and valid bibliometric analysis.•STICCI.eu is a software tool for improving and converting citation indices – enhancing uniformity.•STICCI.eu is able to convert bibliographical citation formats (WoS, Scopus, Google Scholar, CSV, BibTex, RIS).•It corrects mistakes in databases, detecting duplications, misspellings, name variants, toponymical names, etc.</li>","2014","2019-06-30 14:08:01","2019-06-30 14:08:01","","257-271","","2","34; Jg. 2014-04-01","","","","","","","","","","","","","","","","","Published: Artikel","","","","","Bibliometrics; Citation indices; Data cleaning; Information management; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VN26SL2E","journalArticle","2010","Fell, Clemens","Publish or Perish und Google Scholar - ein Segen?","","","","","http://psydok.psycharchives.de/jspui/handle/20.500.11780/3665","Bibliometrische Kennzahlen beeinflussen wissenschaftliche Karrieren (Bauer, 2003; Fröhlich, 2003). Beim wissenschaftlichen Fortkommen (z. B. Berufungen, Habilitationen, Mittelvergaben) hieß es bisher oft publish or perish (Garfield, 1996). Quantitative Kennzahlen über die Publikationstätigkeit einer Person sollten Aussagen über die Qualität ihres wissenschaftlichen Tuns zulassen. Zum Zählen von Zitationen lassen sich spezielle Zitationsdatenbanken nutzen bzw. sie müssen genutzt werden. Seit 2004 (seit 2006 in deutscher Spra-che) bietet Google seinen akademischen Suchdienst Google Scholar an. Seither kann jeder mit Internetzugang gezielt und kostenlos wissenschaftliche Fachin-formationen recherchieren. Neben der Auflistung von Fachpublikationen, gibt Google Scholar auch die Zahl der Zitierungen jedes Eintrags an. Der Autor beschäftigt sich unter anderem mit der Frage, ob Google Scholar zur Analyse von Publikationsleistung oder wissenschaftlichen Impacts geeignet ist","2010","2019-06-30 14:17:22","2019-06-30 14:17:29","2019-06-30 14:17:22","","","","","","Publish or Perish and Google Scholar - a blessing?","","","","","","","","de","publ-ohne-pod","","","","psydok.psycharchives.de","","","","/Users/Mami/Zotero/storage/RKDMZWKG/Fell - 2010 - Publish or Perish und Google Scholar - ein Segen.pdf; /Users/Mami/Zotero/storage/F8TWC26C/3665.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EVB5M8N","journalArticle","2005","Noruzi, Alireza","Google Scholar: The new generation of citation indexes","Libri","","","","","method of locating potentially relevant articles on a given subject by identifying subsequent articles that cite a previously published article. An important feature of Google Scholar is that researchers can use it to trace interconnections among authors citing articles on the same topic and to determine the frequency with which others cite a specific article, as it has a “cited by &quot; feature. This study begins with Background of the study Eugene Garfield first outlined the idea of a unified citation index to the literature of science in 1955. “Citation indexes resolve semantic problems associated with traditional subject indexes by using citation symbology rather than words to describe the content of a document ” (Weinstock 1971). Eugene Garfield’s main purpose in proposing the construction of a citation index for science, in which the references in scientific articles are used as index terms, was for the citation index to function as an information retrieval tool for scientific information (Garfield 1955). The rationale behind this kind of indexing is to exploit what Garfield calls the “association-of-ideas ” or “Citations are the formal, explicit linkages between papers that have particular points in common ” (Garfield 1979, 1). Soon after the beginning of the World Wide Web, the literature available on the Web increased very rapidly. The growing amount of literature on the Web and the need for multidisciplinary information retrieval accentuated the need for improved retrieval methods because while the documents were readily available, locating them","2005","2019-06-30 14:34:55","2019-06-30 14:34:55","","170–180","","","55","","","Google Scholar","","","","","","","","","","","","CiteSeer","","","","/Users/Mami/Zotero/storage/53A2QRKY/Noruzi - 2005 - Google Scholar The new generation of citation ind.pdf; /Users/Mami/Zotero/storage/UKW2XYMK/summary.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5C6BCH4","journalArticle","2005","Noruzi, Alireza","Google Scholar: The New Generation of Citation Indexes","Libri","","0024-2667","10.1515/LIBR.2005.170","https://www.degruyter.com/view/j/libr.2005.55.issue-4/libr.2005.170/libr.2005.170.xml","","2005-01-22","2019-06-30 14:37:56","2019-06-30 14:37:58","2019-06-30 14:37:56","","","4","55","","","Google Scholar","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/Mami/Zotero/storage/6UUGDVJT/Noruzi - 2005 - Google Scholar The New Generation of Citation Ind.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSC3RAG5","journalArticle","2018","Andersen, Jens Peter; Nielsen, Mathias Wullum","Google Scholar and Web of Science: Examining gender differences in citation coverage across five scientific disciplines","Journal of Informetrics","","1751-1577","10.1016/j.joi.2018.07.010","http://www.sciencedirect.com/science/article/pii/S1751157718300282","Many studies demonstrate differences in the coverage of citing publications in Google Scholar (GS) and Web of Science (WoS). Here, we examine to what extent citation data from the two databases reflect the scholarly impact of women and men differently. Our conjecture is that WoS carries an indirect gender bias in its selection criteria for citation sources that GS avoids due to criteria that are more inclusive. Using a sample of 1250 U.S. researchers in Sociology, Political Science, Economics, Cardiology and Chemistry, we examine gender differences in the average citation coverage of the two databases. We also calculate database-specific h-indices for all authors in the sample. In repeated simulations of hiring scenarios, we use these indices to examine whether women's appointment rates increase if hiring decisions rely on data from GS in lieu of WoS. We find no systematic gender differences in the citation coverage of the two databases. Further, our results indicate marginal to non-existing effects of database selection on women's success-rates in the simulations. In line with the existing literature, we find the citation coverage in WoS to be largest in Cardiology and Chemistry and smallest in Political Science and Sociology. The concordance between author-based h-indices measured by GS and WoS is largest for Chemistry followed by Cardiology, Political Science, Sociology and Economics.","2018-08-01","2019-07-01 11:15:53","2019-07-01 11:15:53","2019-07-01 11:15:53","950-959","","3","12","","Journal of Informetrics","Google Scholar and Web of Science","","","","","","","","","","","","ScienceDirect","","","","/Users/Mami/Zotero/storage/DJZG3FKJ/S1751157718300282.html","","","-Index; Academic careers; Gender in research; Google Scholar; Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGXQ3HC2","journalArticle","2012","Jacsó, Péter","Google Scholar Author Citation Tracker: is it too little, too late?","Online Information Review","","1468-4527","10.1108/14684521211209581","http://www.emeraldinsight.com/doi/10.1108/14684521211209581","Purpose – Seven years after the release of Google Scholar in 2004, it was enhanced by a new module, the Google Scholar Author Citation Tracker (GSACT), currently a small subset of the complete Google Scholar (GS) database. The aim of this paper is to focus on this enhancement.","2012-02-17","2019-07-01 11:16:44","2019-07-01 11:16:44","2019-07-01 11:16:44","126-141","","1","36","","Online Information Review","Google Scholar Author Citation Tracker","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/Mami/Zotero/storage/25AU5W8L/Jacsó - 2012 - Google Scholar Author Citation Tracker is it too .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3GD7RFU","conferencePaper","2006","Mayr, Philipp; Walter, Anne-Kathrin","Google Scholar – wie tief gräbt diese Suchmaschine? (How deep does Google Scholar dig?)","","","","","http://eprints.rclis.org/8138/","The paper discusses the new scientific search service Google Scholar. This search engine, which is intended for searching exclusively scholarly documents, will be described with its most important functionality and then tested empirically. The study is based on queries against different journal lists: international journals from Thomson Scientific, Open Access journals from the DOAJ list and journals of the German social sciences literature database SOLIS as well as the analysis of result data from Google Scholar. The study shows deficiencies in the coverage and up-to-dateness of the Google Scholar index. Furthermore, the study points up which web servers are the most important data providers for this search service and which information sources are represented. We conclude that Google Scholar has some interesting potentials (e.g. citation analysis, free materials) but can not be seen as a substitute for the use of special literature databases due to a couple of weaknesses (e.g. transparency).","2006","2019-07-02 07:50:02","2019-07-02 07:50:02","2019-07-02 07:50:03","241-262","","","Tagung","","","Google Scholar – wie tief gräbt diese Suchmaschine?","","","","","Informationszentrum Sozialwissenschaften","","en","","","","","eprints.rclis.org","","","","/Users/Mami/Zotero/storage/XRQGL2VB/Mayr and Walter - 2006 - Google Scholar – wie tief gräbt diese Suchmaschine.pdf; /Users/Mami/Zotero/storage/4B2DGDTV/8138.html","","","","Stempfhuber, Maximilian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPKY47MD","journalArticle","","Mayr, Philipp; Walter, Anne-Kathrin","Google Scholar - wie tief gräbt diese Suchmaschine?","","","","","","","","2019-07-02 07:52:10","2019-07-02 07:52:10","","22","","","","","","","","","","","","","de","","","","","Zotero","","","","/Users/Mami/Zotero/storage/WGPTLWA3/Mayr and Walter - Google Scholar - wie tief gräbt diese Suchmaschine.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BX79WHTV","journalArticle","2019","Gusenbauer, Michael","Google Scholar to overshadow them all? Comparing the sizes of 12 academic search engines and bibliographic databases","Scientometrics","","1588-2861","10.1007/s11192-018-2958-5","https://doi.org/10.1007/s11192-018-2958-5","Information on the size of academic search engines and bibliographic databases (ASEBDs) is often outdated or entirely unavailable. Hence, it is difficult to assess the scope of specific databases, such as Google Scholar. While scientometric studies have estimated ASEBD sizes before, the methods employed were able to compare only a few databases. Consequently, there is no up-to-date comparative information on the sizes of popular ASEBDs. This study aims to fill this blind spot by providing a comparative picture of 12 of the most commonly used ASEBDs. In doing so, we build on and refine previous scientometric research by counting query hit data as an indicator of the number of accessible records. Iterative query optimization makes it possible to identify a maximum number of hits for most ASEBDs. The results were validated in terms of their capacity to assess database size by comparing them with official information on database sizes or previous scientometric studies. The queries used here are replicable, so size information can be updated quickly. The findings provide first-time size estimates of ProQuest and EbscoHost and indicate that Google Scholar’s size might have been underestimated so far by more than 50%. By our estimation Google Scholar, with 389 million records, is currently the most comprehensive academic search engine.","2019-01-01","2019-07-02 08:43:12","2019-07-02 08:43:12","2019-07-02 08:43:12","177-214","","1","118","","Scientometrics","Google Scholar to overshadow them all?","","","","","","","en","","","","","Springer Link","","","","/Users/Mami/Zotero/storage/ADAJ8L4S/Gusenbauer - 2019 - Google Scholar to overshadow them all Comparing t.pdf","","","Google Scholar; Academic bibliographic database; Academic search engine; Iterative analysis; Metrics; Query hit count; Size","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QVCUNWY3","journalArticle","2017","Halevi, Gali; Moed, Henk; Bar-Ilan, Judit","Suitability of Google Scholar as a source of scientific information and as a source of data for scientific evaluation—Review of the Literature","Journal of Informetrics","","1751-1577","10.1016/j.joi.2017.06.005","http://www.sciencedirect.com/science/article/pii/S1751157717300676","As Google Scholar (GS) gains more ground as free scholarly literature retrieval source it’s becoming important to understand its quality and reliability in terms of scope and content. Studies comparing GS to controlled databases such as Scopus, Web of Science (WOS) and others have been published almost since GS inception. These studies focus on its coverage, quality and ability to replace controlled databases as a source of reliable scientific literature. In addition, GS introduction of citations tracking and journal metrics have spurred a body of literature focusing on its ability to produce reliable metrics. In this article we aimed to review some studies in these areas in an effort to provide insights into GS ability to replace controlled databases in various subject areas. We reviewed 91 comparative articles from 2005 until 2016 which compared GS to various databases and especially Web of Science (WOS) and Scopus in an effort to determine whether GS can be used as a suitable source of scientific information and as a source of data for scientific evaluation. Our results show that GS has significantly expanded its coverage through the years which makes it a powerful database of scholarly literature. However, the quality of resources indexed and overall policy still remains known. Caution should be exercised when relying on GS for citations and metrics mainly because it can be easily manipulated and its indexing quality still remains a challenge.","2017-08-01","2019-07-02 08:59:09","2019-07-02 08:59:09","2019-07-02 08:59:09","823-834","","3","11","","Journal of Informetrics","","","","","","","","","","","","","ScienceDirect","","","","/Users/Mami/Zotero/storage/YDG54ZDT/S1751157717300676.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKIZN9RZ","journalArticle","2016","Moed, Henk F.; Bar-Ilan, Judit; Halevi, Gali","A new methodology for comparing Google Scholar and Scopus","Journal of Informetrics","","17511577","10.1016/j.joi.2016.04.017","https://linkinghub.elsevier.com/retrieve/pii/S1751157715302285","A new methodology is proposed for comparing Google Scholar (GS) with other citation indexes. It focuses on the coverage and citation impact of sources, indexing speed, and data quality, including the effect of duplicate citation counts. The method compares GS with Elsevier’s Scopus, and is applied to a limited set of articles published in 12 journals from six subject fields, so that its findings cannot be generalized to all journals or fields. The study is exploratory, and hypothesis generating rather than hypothesis-testing. It confirms findings on source coverage and citation impact obtained in earlier studies. The ratio of GS over Scopus citation varies across subject fields between 1.0 and 4.0, while Open Access journals in the sample show higher ratios than their non-OA counterparts. The linear correlation between GS and Scopus citation counts at the article level is high: Pearson’s R is in the range of 0.8-0.9. A median Scopus indexing delay of two months compared to GS is largely though not exclusively due to missing cited references in articles in press in Scopus. The effect of double citation counts in GS due to multiple citations with identical or substantially similar meta-data occurs in less than 2 per cent of cases. Pros and cons of article-based and what is termed as concept-based citation indexes are discussed.","2016-05","2019-07-02 09:00:26","2019-07-02 09:00:27","2019-07-02 09:00:26","533-551","","2","10","","Journal of Informetrics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/Mami/Zotero/storage/LDJCTEG5/Moed et al. - 2016 - A new methodology for comparing Google Scholar and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSHPJ7H","journalArticle","2015","Haddaway, Neal Robert; Collins, Alexandra Mary; Coughlin, Deborah; Kirk, Stuart","The Role of Google Scholar in Evidence Reviews and Its Applicability to Grey Literature Searching","PLOS ONE","","1932-6203","10.1371/journal.pone.0138237","https://dx.plos.org/10.1371/journal.pone.0138237","","2015-09-17","2019-07-02 10:23:23","2019-07-02 10:23:23","2019-07-02 10:23:23","e0138237","","9","10","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/Mami/Zotero/storage/QYPWDL5N/Haddaway et al. - 2015 - The Role of Google Scholar in Evidence Reviews and.pdf","","","","Wray, K. Brad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBU7SWAZ","journalArticle","2019","Theodora, Yiota","Aegean Sea—Challenges and Dilemmas in Management and Planning for Local Development in Fragmented Insular Regions","Heritage","","2571-9408","10.3390/heritage2030108","https://www.mdpi.com/2571-9408/2/3/108","","2019","2019-07-21 13:35:24","2019-07-21 13:35:24","","1762–1784","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATUZDD76","journalArticle","2019","Bronec, Jakub","Transmission of Collective Memory and Jewish Identity in Post-War Jewish Generations through War Souvenirs","Heritage","","2571-9408","10.3390/heritage2030109","https://www.mdpi.com/2571-9408/2/3/109","","2019","2019-07-21 13:35:24","2019-07-21 13:35:24","","1785–1798","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5N5WGR96","journalArticle","2019","Kargas, Antonios; Loumos, Georgios; Varoutas, Dimitrios","Using Different Ways of 3D Reconstruction of Historical Cities for Gaming Purposes: The Case Study of Nafplio","Heritage","","2571-9408","10.3390/heritage2030110","https://www.mdpi.com/2571-9408/2/3/110","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1799–1811","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
